None	None
(1,0)	(1,1)
(2,2)	(2,1)
(3,2)	(3,3)
(4,4)	(4,3)
(5,4)	(5,5)
(6,6)	(6,5)
(7,6)	(7,7)
(8,6)	(8,7)
(9,8)	(9,7)
(10,8)	(10,9)
(11,10)	(11,9)
(12,10)	(12,11)
(13,10)	(13,11)
(14,12)	(14,11)
(15,12)	(15,13)
(16,12)	(16,13)
(17,14)	(17,13)
(18,14)	(18,15)
(19,14)	(19,15)
(20,16)	(20,15)
(21,16)	(21,17)
(22,16)	(22,17)
(23,18)	(23,17)
(24,18)	(24,17)
(25,18)	(25,19)
(26,18)	(26,19)
(27,20)	(27,19)
(28,20)	(28,19)
(29,20)	(29,21)
(30,20)	(30,21)
(31,22)	(31,21)
(32,22)	(32,21)
(33,22)	(33,23)
(34,22)	(34,23)
(35,24)	(35,23)
(36,24)	(36,23)
(37,24)	(37,25)
(38,24)	(38,25)
(39,26)	(39,25)
(40,26)	(40,25)
(41,26)	(41,25)
(42,26)	(42,27)
(43,26)	(43,27)
(44,28)	(44,27)
(45,28)	(45,27)
(46,28)	(46,27)
(47,28)	(47,29)
(48,28)	(48,29)
(49,28)	(49,29)
(50,30)	(50,29)
(51,30)	(51,29)
(52,30)	(52,29)
(53,30)	(53,31)
(54,30)	(54,31)
(55,30)	(55,31)
(56,32)	(56,31)
(57,32)	(57,31)
(58,32)	(58,31)
(59,32)	(59,33)
(60,32)	(60,33)
(61,32)	(61,33)
(62,34)	(62,33)
(63,34)	(63,33)
(64,34)	(64,33)
(65,34)	(65,35)
(66,34)	(66,35)
(67,34)	(67,35)
(68,34)	(68,35)
(69,36)	(69,35)
(70,36)	(70,35)
(71,36)	(71,35)
(72,36)	(72,37)
(73,36)	(73,37)
(74,36)	(74,37)
(75,36)	(75,37)
(76,38)	(76,37)
(77,38)	(77,37)
(78,38)	(78,37)
(79,38)	(79,37)
(80,38)	(80,39)
(81,38)	(81,39)
(82,38)	(82,39)
(83,38)	(83,39)
(84,40)	(84,39)
(85,40)	(85,39)
(86,40)	(86,39)
(87,40)	(87,39)
(88,40)	(88,41)
(89,40)	(89,41)
(90,40)	(90,41)
(91,40)	(91,41)
(92,42)	(92,41)
(93,42)	(93,41)
(94,42)	(94,41)
(95,42)	(95,41)
(96,42)	(96,41)
(97,42)	(97,43)
(98,42)	(98,43)
(99,42)	(99,43)
(100,42)	(100,43)
(101,44)	(101,43)
(102,44)	(102,43)
(103,44)	(103,43)
(104,44)	(104,43)
(105,44)	(105,43)
(106,44)	(106,45)
(107,44)	(107,45)
(108,44)	(108,45)
(109,44)	(109,45)
(110,44)	(110,45)
(111,46)	(111,45)
